dataset,image_filename,cell_id,x_pixel,y_pixel,class_bethesda,binary_label,crop_path,crop_valid,split
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,24,219,160,LSIL,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_24.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,34,973,556,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_34.png,True,train
CRIC,dc2df7c3f88649ded343b13b9486cddf.png,66,541,127,SCC,1,data\processed\cric_crops\dc2df7c3f88649ded343b13b9486cddf_cell_66.png,True,train
CRIC,0cc6e576dac3046d279bba515e10a7a9.png,94,1024,591,SCC,1,data\processed\cric_crops\0cc6e576dac3046d279bba515e10a7a9_cell_94.png,True,train
CRIC,0cc6e576dac3046d279bba515e10a7a9.png,102,391,865,SCC,1,data\processed\cric_crops\0cc6e576dac3046d279bba515e10a7a9_cell_102.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,133,159,519,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_133.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,222,1243,458,LSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_222.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,223,508,164,Negative for intraepithelial lesion,0,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_223.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,234,650,143,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_234.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,240,793,199,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_240.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,264,538,259,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_264.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,292,472,499,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_292.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,316,659,550,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_316.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,319,1024,335,Negative for intraepithelial lesion,0,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_319.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,320,1029,470,Negative for intraepithelial lesion,0,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_320.png,True,train
CRIC,1a1319ef78624dc20d4a43cadde1da01.png,350,590,332,HSIL,1,data\processed\cric_crops\1a1319ef78624dc20d4a43cadde1da01_cell_350.png,True,train
CRIC,1a1319ef78624dc20d4a43cadde1da01.png,354,493,359,HSIL,1,data\processed\cric_crops\1a1319ef78624dc20d4a43cadde1da01_cell_354.png,True,train
CRIC,f1662645f23a20ea9806ca8c6d655fba.png,454,302,480,HSIL,1,data\processed\cric_crops\f1662645f23a20ea9806ca8c6d655fba_cell_454.png,True,train
CRIC,f1662645f23a20ea9806ca8c6d655fba.png,462,432,467,HSIL,1,data\processed\cric_crops\f1662645f23a20ea9806ca8c6d655fba_cell_462.png,True,train
CRIC,f1662645f23a20ea9806ca8c6d655fba.png,473,563,692,HSIL,1,data\processed\cric_crops\f1662645f23a20ea9806ca8c6d655fba_cell_473.png,True,train
CRIC,f1662645f23a20ea9806ca8c6d655fba.png,488,854,742,HSIL,1,data\processed\cric_crops\f1662645f23a20ea9806ca8c6d655fba_cell_488.png,True,train
CRIC,f1662645f23a20ea9806ca8c6d655fba.png,512,707,444,HSIL,1,data\processed\cric_crops\f1662645f23a20ea9806ca8c6d655fba_cell_512.png,True,train
CRIC,f1662645f23a20ea9806ca8c6d655fba.png,519,779,561,HSIL,1,data\processed\cric_crops\f1662645f23a20ea9806ca8c6d655fba_cell_519.png,True,train
CRIC,ac20a24b37b7e87dcc375e6b7420d40e.png,543,274,313,Negative for intraepithelial lesion,0,data\processed\cric_crops\ac20a24b37b7e87dcc375e6b7420d40e_cell_543.png,True,train
CRIC,ac20a24b37b7e87dcc375e6b7420d40e.png,550,269,871,Negative for intraepithelial lesion,0,data\processed\cric_crops\ac20a24b37b7e87dcc375e6b7420d40e_cell_550.png,True,train
