dataset,image_filename,cell_id,x_pixel,y_pixel,class_bethesda,binary_label,crop_path,crop_valid,split
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,1,792,462,SCC,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_1.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,2,601,678,SCC,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_2.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,3,363,467,SCC,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_3.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,4,599,437,SCC,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_4.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,5,1186,450,Negative for intraepithelial lesion,0,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_5.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,6,408,599,Negative for intraepithelial lesion,0,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_6.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,7,483,293,LSIL,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_7.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,8,814,121,LSIL,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_8.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,9,532,312,HSIL,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_9.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,10,638,245,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_10.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,11,648,192,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_11.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,12,637,142,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_12.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,13,594,127,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_13.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,14,536,88,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_14.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,15,637,104,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_15.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,16,903,220,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_16.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,17,840,248,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_17.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,18,76,148,LSIL,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_18.png,True,train
