dataset,image_filename,x_norm,y_norm,class_bethesda,class_annotated,cluster_idx,binary_label,x_pixel,y_pixel,crop_path,crop_valid,slide_id,split
RIVA,LSIL_45_3.png,1000.5496183206104,526.3307888040714,ASCUS,ASCUS,40000.0,1,1001,526,data\processed\riva_crops\LSIL_45_3_cluster_40000.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,974.4936386768449,534.1475826972011,ASCUS,ASCUS,40001.0,1,974,534,data\processed\riva_crops\LSIL_45_3_cluster_40001.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,849.4249363867684,138.0966921119593,ASCUS,ASCUS,40002.0,1,849,138,data\processed\riva_crops\LSIL_45_3_cluster_40002.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,839.0025445292621,166.7582697201018,ASCUS,ASCUS,40003.0,1,839,167,data\processed\riva_crops\LSIL_45_3_cluster_40003.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,599.2875318066159,380.4173027989823,INFL,INFL,40004.0,0,599,380,data\processed\riva_crops\LSIL_45_3_cluster_40004.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,1005.760814249364,244.92620865139955,INFL,INFL,40005.0,0,1006,245,data\processed\riva_crops\LSIL_45_3_cluster_40005.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,604.4987277353689,109.4351145038168,INFL,INFL,40006.0,0,604,109,data\processed\riva_crops\LSIL_45_3_cluster_40006.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,224.0814249363868,33.87277353689567,INFL,INFL,40007.0,0,224,34,data\processed\riva_crops\LSIL_45_3_cluster_40007.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,36.47837150127226,247.53180661577605,INFL,INFL,40008.0,0,36,248,data\processed\riva_crops\LSIL_45_3_cluster_40008.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,257.9541984732825,291.82697201017817,INFL,INFL,40009.0,0,258,292,data\processed\riva_crops\LSIL_45_3_cluster_40009.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,250.13740458015263,218.8702290076336,ASCUS,ASCUS,40010.0,1,250,219,data\processed\riva_crops\LSIL_45_3_cluster_40010.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,99.0127226463104,1005.760814249364,INFL,INFL,40011.0,0,99,1006,data\processed\riva_crops\LSIL_45_3_cluster_40011.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,489.8524173027991,682.6666666666666,ASCUS,ASCUS,40012.0,1,490,683,data\processed\riva_crops\LSIL_45_3_cluster_40012.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,935.409669211196,469.00763358778624,ASCUS,ASCUS,40013.0,1,935,469,data\processed\riva_crops\LSIL_45_3_cluster_40013.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,969.2824427480916,482.0356234096692,ASCUS,ASCUS,40014.0,1,969,482,data\processed\riva_crops\LSIL_45_3_cluster_40014.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,891.1145038167939,594.0763358778626,ASCUS,ASCUS,40015.0,1,891,594,data\processed\riva_crops\LSIL_45_3_cluster_40015.png,True,LSIL_45,test
RIVA,LSIL_45_3.png,935.409669211196,599.2875318066159,ASCUS,ASCUS,40016.0,1,935,599,data\processed\riva_crops\LSIL_45_3_cluster_40016.png,True,LSIL_45,test
RIVA,HSIL_11_5.png,898.9312977099237,263.1653944020357,NILM,Sin lesion,40017.0,0,899,263,data\processed\riva_crops\HSIL_11_5_cluster_40017.png,True,HSIL_11,train
RIVA,HSIL_11_5.png,231.89821882951657,231.89821882951657,ASCUS,ASCUS,40018.0,1,232,232,data\processed\riva_crops\HSIL_11_5_cluster_40018.png,True,HSIL_11,train
RIVA,HSIL_11_5.png,211.05343511450383,482.0356234096692,NILM,Sin lesion,40019.0,0,211,482,data\processed\riva_crops\HSIL_11_5_cluster_40019.png,True,HSIL_11,train
RIVA,HSIL_11_5.png,78.16793893129771,469.00763358778624,NILM,Sin lesion,40020.0,0,78,469,data\processed\riva_crops\HSIL_11_5_cluster_40020.png,True,HSIL_11,train
RIVA,HSIL_11_5.png,99.0127226463104,184.99745547073792,ASCH,ASCH,40021.0,1,99,185,data\processed\riva_crops\HSIL_11_5_cluster_40021.png,True,HSIL_11,train
RIVA,HSIL_11_5.png,216.26463104325697,125.06870229007632,ASCH,ASCH,40022.0,1,216,125,data\processed\riva_crops\HSIL_11_5_cluster_40022.png,True,HSIL_11,train
RIVA,HSIL_11_5.png,294.4325699745547,104.22391857506362,ASCH,ASCH,40023.0,1,294,104,data\processed\riva_crops\HSIL_11_5_cluster_40023.png,True,HSIL_11,train
RIVA,HSIL_22_6.png,514.1186206896551,66.38344827586207,NILM,Sin lesion,40024.0,0,514,66,data\processed\riva_crops\HSIL_22_6_cluster_40024.png,True,HSIL_22,train
RIVA,HSIL_22_6.png,186.4386206896552,603.1006896551725,NILM,Sin lesion,40025.0,0,186,603,data\processed\riva_crops\HSIL_22_6_cluster_40025.png,True,HSIL_22,train
RIVA,HSIL_22_6.png,77.68275862068965,798.0137931034483,NILM,Sin lesion,40026.0,0,78,798,data\processed\riva_crops\HSIL_22_6_cluster_40026.png,True,HSIL_22,train
RIVA,HSIL_22_6.png,401.1255172413794,663.8344827586205,NILM,Sin lesion,40027.0,0,401,664,data\processed\riva_crops\HSIL_22_6_cluster_40027.png,True,HSIL_22,train
RIVA,HSIL_22_6.png,771.1779310344828,858.7475862068966,NILM,Sin lesion,40028.0,0,771,859,data\processed\riva_crops\HSIL_22_6_cluster_40028.png,True,HSIL_22,train
RIVA,LSIL_35_1.png,781.6793893129772,72.95674300254453,INFL,INFL,40029.0,0,782,73,data\processed\riva_crops\LSIL_35_1_cluster_40029.png,True,LSIL_35,train
RIVA,LSIL_35_1.png,620.1323155216285,85.98473282442748,INFL,INFL,40030.0,0,620,86,data\processed\riva_crops\LSIL_35_1_cluster_40030.png,True,LSIL_35,train
RIVA,LSIL_35_1.png,622.7379134860051,10.422391857506362,ASCUS,ASCUS,40031.0,1,623,10,data\processed\riva_crops\LSIL_35_1_cluster_40031.png,True,LSIL_35,train
RIVA,LSIL_35_1.png,745.2010178117048,312.67175572519085,INFL,INFL,40032.0,0,745,313,data\processed\riva_crops\LSIL_35_1_cluster_40032.png,True,LSIL_35,train
RIVA,LSIL_35_1.png,729.5674300254453,119.85750636132316,INFL,INFL,40033.0,0,730,120,data\processed\riva_crops\LSIL_35_1_cluster_40033.png,True,LSIL_35,train
RIVA,LSIL_35_1.png,786.8905852417303,244.92620865139955,INFL,INFL,40034.0,0,787,245,data\processed\riva_crops\LSIL_35_1_cluster_40034.png,True,LSIL_35,train
RIVA,LSIL_35_1.png,737.3842239185751,229.29262086513995,INFL,INFL,40035.0,0,737,229,data\processed\riva_crops\LSIL_35_1_cluster_40035.png,True,LSIL_35,train
RIVA,HSIL_22_10.png,123.62642369020504,170.27790432801822,LSIL,LSIL,40036.0,1,124,170,data\processed\riva_crops\HSIL_22_10_cluster_40036.png,True,HSIL_22,train
